Country; N; Prop_50; Prop_90; M_age; SD_age
Argentina;5923;711;598;41593;15244
Australia;327;807;749;42648;13963
Austria;319;743;661;38473;11717
Bangladesh;421;675;523;28088;6230
Belgium;622;826;756;36466;12827
Bosnia and Herzegovina;1288;780;661;37256;11972
Brazil;731;778;703;35259;13748
Bulgaria;4785;780;675;41636;13510
Canada;470;811;760;41349;14540
Croatia;2965;807;739;35408;12247
Czech Republic;1995;787;720;33375;11506
Denmark;10891;817;754;42543;14277
Finland;22933;854;804;43357;14170
France;13475;833;778;33267;12760
Germany;1443;814;758;36711;12055
Greece;642;822;745;41785;11622
Hungary;1438;743;654;49022;15133
Indonesia;1569;723;616;31047;9572
Ireland ;216;769;667;40565;10536
Italy;1749;805;723;44747;15311
Japan;5072;910;875;44369;11312
Korea South;487;764;671;38053;10427
Kosovo ;2707;615;468;29225;10058
Lithuania;8255;796;720;38553;12459
Malaysia;567;769;709;36795;14411
Mexico;9169;791;722;37453;13830
Netherlands ;1433;800;748;44944;14730
Pakistan;360;631;511;27053;8728
Panama;759;735;632;39486;14635
Philippines ;5700;849;777;25853;11424
Poland;3088;779;694;31315;7883
Portugal;1067;712;630;33767;13598
Romania;282;699;638;34053;9479
Serbia;266;816;688;38556;12651
Slovakia;942;741;667;41879;12903
Spain;615;761;676;38787;15405
Sweden;3055;825;764;46477;12373
Switzerland;1188;810;757;42698;17172
Taiwan;2745;830;752;33072;11332
Turkey;1199;760;667;33533;11809
United Kingdom;1500;775;701;39438;12814
United States;2314;832;783;42857;14714
