Country; Prop_usual; Prop_minor; Prop_medical; Prop_isolated; Prop_NA
Argentina;0,024;0,32;0,001;0,625;0,029
Australia;0,043;0,529;0;0,422;0,006
Austria;0,025;0,467;0;0,498;0,009
Bangladesh;0,081;0,584;0,029;0,302;0,005
Belgium;0,034;0,559;0,002;0,381;0,024
Bosnia and Herzegovina;0,041;0,58;0,003;0,355;0,021
Brazil;0,008;0,283;0,003;0,699;0,007
Bulgaria;0,031;0,399;0,001;0,537;0,031
Canada;0,015;0,396;0,004;0,579;0,006
Croatia;0,018;0,677;0;0,282;0,023
Czech Republic;0,022;0,788;0;0,187;0,003
Denmark;0,02;0,658;0,001;0,318;0,004
Finland;0,034;0,604;0,001;0,355;0,006
France;0,046;0,643;0,001;0,302;0,009
Germany;0,03;0,586;0;0,366;0,017
Greece;0,012;0,343;0,005;0,625;0,016
Hungary;0,032;0,592;0,001;0,336;0,038
Indonesia;0,055;0,595;0,001;0,342;0,008
Ireland;0,009;0,417;0;0,551;0,023
Italy;0,023;0,613;0,002;0,341;0,021
Japan;0,474;0,513;0,001;0,011;0,002
Korea South;0,23;0,743;0;0,018;0,008
Kosovo;0,029;0,327;0,007;0,525;0,113
Lithuania;0,033;0,761;0,001;0,196;0,008
Malaysia;0,093;0,67;0,002;0,229;0,005
Mexico;0,023;0,322;0,003;0,644;0,007
Netherlands;0,023;0,671;0;0,29;0,016
Pakistan;0,072;0,461;0,008;0,456;0,003
Panama;0,082;0,617;0,004;0,278;0,02
Philippines;0,121;0,761;0,002;0,111;0,005
Poland;0,012;0,45;0,001;0,524;0,013
Portugal;0,014;0,34;0,001;0,62;0,024
Romania;0,074;0,553;0;0,33;0,043
Serbia;0,03;0,519;0;0,44;0,011
Slovakia;0,034;0,695;0;0,262;0,008
Spain;0,039;0,353;0,002;0,592;0,015
Sweden;0,027;0,735;0;0,234;0,003
Switzerland;0,031;0,642;0,001;0,318;0,008
Taiwan;0,182;0,805;0,001;0,009;0,003
Turkey;0,013;0,257;0,004;0,691;0,035
United Kingdom;0,02;0,4;0,001;0,572;0,007
United States;0,016;0,38;0,001;0,597;0,005
