Country; Prop_single; Prop_married/cohabiting; Prop_divorced/widowed; Prop_marital_other/not_say; Prop_marital_NA
Argentina;420;411;109;50;9
Australia;229;584;122;55;9
Austria;254;633;63;41;9
Bangladesh;544;425;7;21;2
Belgium;434;460;58;39;10
Bosnia and Herzegovina;320;506;85;68;21
Brazil;529;363;89;16;3
Bulgaria;265;547;128;44;17
Canada;311;568;87;28;6
Croatia;352;511;50;69;17
Czech Republic;396;505;76;19;5
Denmark;233;669;74;13;6
Finland;205;632;106;51;6
France;495;418;45;36;6
Germany;357;550;49;38;7
Greece;512;167;33;280;8
Hungary;179;632;156;26;6
Indonesia;479;475;21;18;7
Ireland ;227;676;56;37;5
Italy;301;502;102;91;4
Japan;366;529;66;34;6
Korea South;439;501;25;25;10
Kosovo;576;355;13;43;12
Lithuania;208;655;89;42;6
Malaysia;531;407;34;18;11
Mexico;505;397;76;20;3
Netherlands;235;652;68;38;7
Pakistan;658;311;11;11;8
Panama;431;473;72;16;8
Philippines;732;191;26;39;12
Poland;223;711;25;37;5
Portugal;538;359;66;31;7
Romania;252;660;14;64;11
Serbia;365;519;68;49;0
Slovakia;239;596;124;32;10
Spain;369;499;80;44;8
Sweden;170;675;81;68;7
Switzerland;394;485;88;27;6
Taiwan;657;272;15;52;5
Turkey;515;399;50;28;8
United Kingdom ;263;619;79;37;3
United States;302;588;89;18;3
